posting_id,status,headhunting_company,url,title,company_desc,main_duties,requirements,preferred,career,location,salary,deadline,first_seen_at,last_seen_at,last_fetched_at,score
329152,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329152,(주)헤딩써치 채용 | 콘텐츠팀 영상 PD 경력직 공고 - 리멤버,(주)헤딩써치에서 콘텐츠팀 영상 PD를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
329159,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329159,(주)헤딩써치 채용 | D2C기반 고성장 기업 재무 담당 경력직 공고 - 리멤버,(주)헤딩써치에서 D2C기반 고성장 기업 재무 담당를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
329163,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329163,(주)헤딩써치 채용 | 항공프라이싱 경력직 공고 - 리멤버,(주)헤딩써치에서 항공프라이싱를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
329170,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329170,(주)헤딩써치 채용 | 물류사업개발 담당자 경력직 공고 - 리멤버,(주)헤딩써치에서 물류사업개발 담당자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
329233,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329233,(주)헤딩써치 채용 | 기술연구소 Solderpaste 기술개발담당 경력직 공고 - 리멤버,(주)헤딩써치에서 기술연구소 Solderpaste 기술개발담당를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
329589,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329589,(주)헤딩써치 채용 | 사내 변호사 경력직 공고 - 리멤버,(주)헤딩써치에서 사내 변호사를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
329787,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329787,(주)헤딩써치 채용 | 2금융 생명보험 기간계 PL 경력직 공고 - 리멤버,(주)헤딩써치에서 2금융 생명보험 기간계 PL를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
329799,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329799,(주)헤딩써치 채용 | 암페놀 커넥터 FAE (Field Application Engineer) - 수원 경력직 공고 - 리멤버,(주)헤딩써치에서 암페놀 커넥터 FAE (Field Application Engineer) - 수원를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,55
329909,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/329909,(주)헤딩써치 채용 | 일본 이커머스 담당자 경력직 공고 - 리멤버,(주)헤딩써치에서 일본 이커머스 담당자를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,45
330372,active,헤딩써치,https://career.rememberapp.co.kr/job/posting/330372,(주)헤딩써치 채용 | 이차전지 자동화 장비 제조기업 원가회계 담당 경력직 공고 - 리멤버,(주)헤딩써치에서 이차전지 자동화 장비 제조기업 원가회계 담당를 찾습니다. 당신의 커리어를 한 단계 높여줄 이직 기회를 리멤버에서 만나보세요.,,,,,,,,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,2026-09-16T21:10:50+0900,30
